Book,Publisher,Category,Subcategory,State/Country,Date,Month,Year,Host,Meeting No.,Contributor,Composite,Aaron T.,Adam H.,Adam W.,Alex Ha.,Alex He.,Alex M.,Alex S.,Allen M.,Andrew F.,Andrew P.,Andrew S.,Anfernee A.,Annie H.,Ben C.,Ben S.,Ben W.,Bill K.,Bobby T.,Brant C.,Brian La.,Brian Li.,Carl R.,Charlie D.,Charlie M.,Chelsea P.,Chris G.,Chris J.,Chris Mo.,Chris My.,Colin J.,Cory P.,Dan S.,Darrell L.,Dave E.,Dave S.,David A.,David J.,David W.,Denis M.,Dick K.,DJ W.,Donny H.,Drew B.,Dustin S.,Eric A.,Eric B.,Eric H.,Erik W.,Forrest T.,Frank B.,Greg A.,Ian S.,Jake W.,James E.,Jason F.,Jason M.,Jason S.,Jayson L.,Jeremy S.,Jesse J.,Jim B.,Jim C.,Joe C.,Joe J.,Joe S.,Joel B.,John S.,John V.,Jordyn P.,Josh J.,Josh R.,Juan B.,Katie S.,Kevin V.,Kevin W.,Lauren D.,Lee M.,Maridee R.,Mark A.,Mark N.,Matt A.,Matt G.,Matt S.,Matt T.,Matthew S.,Merritt W.,Michael P.,Mike M.,Mike V.,Nate M.,Nick K.,Other Jake W.,Paul H.,Paul K.,Paul W.,Phil H.,Phil W.,Rachel H.,Renee K.,Richard A.,Rick S.,Rob C.,Rusty O.,Ryan F.,Ryan Y.,Sam E.,Sam S.,Sara P.,Sarah G.,Scott M.,Scott T.,Shelley B.,Steve B.,Steve D.,Steve M.,Steve P.,Steve S.,Steve W.,Stuart W.,Tim H.,Tony H.,Tony W.,Trent D.,Tyler S.,Wes B.,Zach M.
Ectogasm India Pale Ale,Drekker Brewing Co.,IPA,New England/Hazy IPA,North Dakota,1/9/2026,January,2026,Paul W.,151,Ryan F.,2.89,,,,,,,,,,,,,,,3.50,,,3.25,,,,,2.75,,,,,,,,,,,2.75,,3.00,,,,,,,,,,,2.25,3.00,,,,,4.00,,,,,1.75,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,3.00,3.25,,,,,,3.00,,,3.25,,,,,,,2.50,,,,,,,,,,,,,,,2.50
Lean West Double IPA,Masthead Brewing Co.,IPA,Double IPA,Ohio,1/9/2026,January,2026,Paul W.,151,Paul W.,2.45,,,,,,,,,,,,,,,3.00,,,2.75,,,,,2.00,,,,,,,,,,,2.00,,2.25,,,,,,,,,,,2.75,2.50,,,,,3.00,,,,,2.50,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,2.25,2.25,,,,,,2.75,,,2.75,,,,,,,2.00,,,,,,,,,,,,,,,2.25
Hofbrau Original,Hofbrauhaus Munchen,Lager,Helles Lager,Germany,1/9/2026,January,2026,Paul W.,151,Scott T.,2.41,,,,,,,,,,,,,,,3.50,,,2.00,,,,,2.00,,,,,,,,,,,2.00,,2.50,,,,,,,,,,,2.00,2.00,,,,,2.00,,,,,2.25,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,3.00,2.75,,,,,,2.00,,,2.00,,,,,,,2.75,,,,,,,,,,,,,,,3.25
Floyds Deluxe Brand Lager,3 Floyds Brewing Co.,Lager,American Adjunct Lager,Indiana,1/9/2026,January,2026,Paul W.,151,Charlie D,2.55,,,,,,,,,,,,,,,2.25,,,2.25,,,,,3.75,,,,,,,,,,,2.25,,2.50,,,,,,,,,,,2.00,2.00,,,,,2.50,,,,,2.25,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,2.50,3.50,,,,,,2.50,,,1.50,,,,,,,2.75,,,,,,,,,,,,,,,3.75
Dad Hoppy Holiday Ale,Rhinegeist Brewing Co.,Red,,Ohio,1/9/2026,January,2026,Paul W.,151,Jake W.,2.75,,,,,,,,,,,,,,,3.25,,,3.00,,,,,2.50,,,,,,,,,,,2.25,,2.50,,,,,,,,,,,2.50,3.00,,,,,2.75,,,,,3.25,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,2.00,3.00,,,,,,2.75,,,1.75,,,,,,,2.75,,,,,,,,,,,,,,,4.25
Abita Office Party,Abita Brewing Co.,Stout,American Stout,Louisiana,1/9/2026,January,2026,Paul W.,151,Bobby T.,2.92,,,,,,,,,,,,,,,3.00,,,4.00,,,,,2.75,,,,,,,,,,,2.00,,2.50,,,,,,,,,,,2.50,2.50,,,,,2.25,,,,,3.75,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,3.50,3.00,,,,,,2.75,,,2.25,,,,,,,2.50,,,,,,,,,,,,,,,3.75
Dungeons & Dragons Dragon's Milk Coconut Rum Barrel Reserve,New Holland Brewing Co.,Stout,American Imperial Stout,Michigan,1/9/2026,January,2026,Paul W.,151,Paul K.,1.61,,,,,,,,,,,,,,,1.00,,,2.25,,,,,2.00,,,,,,,,,,,1.75,,1.00,,,,,,,,,,,1.50,2.00,,,,,1.00,,,,,1.25,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,1.00,1.75,,,,,,1.75,,,2.50,,,,,,,1.00,,,,,,,,,,,,,,,1.25
Mamma Hen's IPA,DVD Brew,IPA,American IPA,Ohio,1/9/2026,January,2026,Paul W.,151,Eric H.,2.58,,,,,,,,,,,,,,,1.25,,,3.00,,,,,2.75,,,,,,,,,,,2.75,,2.75,,,,,,,,,,,4.00,2.50,,,,,3.00,,,,,2.75,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,2.75,2.00,,,,,,3.00,,,3.75,,,,,,,1.50,,,,,,,,,,,,,,,1.00
The Poet American Oatmeal Stout,New Holland Brewing Co.,Stout,Oatmeal Stout,Michigan,1/9/2026,January,2026,Paul W.,151,Dave E.,2.66,,,,,,,,,,,,,,,2.50,,,3.75,,,,,2.00,,,,,,,,,,,3.00,,2.00,,,,,,,,,,,2.50,3.00,,,,,2.75,,,,,2.50,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,2.50,3.00,,,,,,2.75,,,2.25,,,,,,,2.75,,,,,,,,,,,,,,,2.25
Samuel Adams Breakaway Blonde Ale,Boston Beer Co.,Blonde,,Massachusetts,1/9/2026,January,2026,Paul W.,151,Jayson L.,2.64,,,,,,,,,,,,,,,3.00,,,2.75,,,,,2.50,,,,,,,,,,,1.75,,2.50,,,,,,,,,,,2.25,3.00,,,,,2.75,,,,,2.75,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,2.75,2.75,,,,,,3.00,,,1.75,,,,,,,3.00,,,,,,,,,,,,,,,3.25
Monostatic #14 Riwaka Hazy India Pale Ale with Riwaka Hops,Branch & Bone Artisan Ales,IPA,New England/Hazy IPA,Ohio,1/9/2026,January,2026,Paul W.,151,Rick S.,2.69,,,,,,,,,,,,,,,3.00,,,3.00,,,,,2.00,,,,,,,,,,,2.75,,2.25,,,,,,,,,,,2.50,2.00,,,,,3.00,,,,,2.75,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,2.75,2.50,,,,,,3.00,,,3.50,,,,,,,3.25,,,,,,,,,,,,,,,2.50
Trash Panda India Pale Ale,Lost Forty Brewing,IPA,New England/Hazy IPA,Arkansas,1/9/2026,January,2026,Paul W.,151,David A.,3.11,,,,,,,,,,,,,,,2.75,,,3.25,,,,,4.00,,,,,,,,,,,2.75,,3.25,,,,,,,,,,,2.75,3.50,,,,,3.50,,,,,3.25,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,2.75,3.00,,,,,,3.25,,,3.00,,,,,,,3.00,,,,,,,,,,,,,,,3.00
Bodhi Double India Pale Ale,Columbus Brewing Co.,IPA,Double IPA,Ohio,1/9/2026,January,2026,Paul W.,151,Erik W.,2.42,,,,,,,,,,,,,,,3.00,,,2.50,,,,,2.00,,,,,,,,,,,2.00,,2.00,,,,,,,,,,,2.25,2.50,,,,,3.00,,,,,2.25,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,2.00,3.25,,,,,,2.75,,,2.50,,,,,,,2.75,,,,,,,,,,,,,,,2.00
Desde Imperial,Cerveceria Costa Rica,Lager,American Light Lager,Costa Rica,1/9/2026,January,2026,Paul W.,151,Zach M.,2.55,,,,,,,,,,,,,,,2.75,,,2.25,,,,,3.75,,,,,,,,,,,2.00,,2.50,,,,,,,,,,,2.50,3.00,,,,,2.75,,,,,2.50,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,3.00,1.75,,,,,,3.00,,,1.75,,,,,,,2.50,,,,,,,,,,,,,,,2.25
Isar Nacht Dunkelweiss,HighGrain Brewing Co.,Wheat,Dunkelweizen,Ohio,2/28/2026,February,2026,Ryan F.,152,Matt T.,3.39,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,4.00,,,,,2.75,,3.25,,,,,,,,,,,2.00,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,5.00,,,,,,,,,,,,,,,,,,,,2.00,,,,4.00,,,3.75,,,,,,,,,,,,,,,
Citrus Rush Double IPA,HighGrain Brewing Co.,IPA,Double IPA,Ohio,2/28/2026,February,2026,Ryan F.,152,Ben W.,3.18,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,3.75,,,,,2.50,,3.00,,,,,,,,,,,3.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,2.25,,,,,,,,,,,,,,,,,,,,3.00,,,,2.75,,,3.25,,,,,,,,,,,,,,,
Teddy American IPA,HighGrain Brewing Co.,IPA,American IPA,Ohio,2/28/2026,February,2026,Ryan F.,152,David A.,3.05,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,3.50,,,,,2.00,,3.50,,,,,,,,,,,3.00,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,2.25,,,,,,,,,,,,,,,,,,,,3.50,,,,3.00,,,2.75,,,,,,,,,,,,,,,
Social Hour Social Experiment,Santa Fe Brewing Co.,Wheat,American Pale Wheat,New Mexico,2/28/2026,February,2026,Ryan F.,152,Maridee R.,3.02,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,3.00,,,,,2.75,,2.75,,,,,,,,,,,2.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,4.00,,,,,,,,,,,,,,,,,,,,2.25,,,,3.00,4.00,,2.25,,,,,,,,,,,,,,,
Cowboy Lager,Gilligan's Brewery,Lager,American Light Lager,Ohio,2/28/2026,February,2026,Ryan F.,152,Dave E.,1.73,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,1.00,,,,,1.00,,2.50,,,,,,,,,,,2.50,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,4.00,,,,,,,,,,,,,,,,,,,,1.00,,,,2.50,2.00,,1.25,,,,,,,,,,,,,,,
Social Hour Hazy Wit-Style Brew with Tropical Fruit,Santa Fe Brewing Co.,Wheat,Witbier,New Mexico,2/28/2026,February,2026,Ryan F.,152,Chris M.,2.63,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,3.00,,,,,2.50,,2.75,,,,,,,,,,,3.25,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,2.00,,,,3.25,1.00,,2.25,,,,,,,,,,,,,,,
Imperial Java Stout ,Santa Fe Brewing Co.,Stout,Coffee Stout,New Mexico,2/28/2026,February,2026,Ryan F.,152,Eric H.,3.63,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,3.50,,,,,3.50,,2.75,,,,,,,,,,,3.25,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,4.50,,,,,,,,,,,,,,,,,,,,3.50,,,,3.50,3.00,,4.00,,,,,,,,,,,,,,,
Stereo Sanctity New England IPA,Nine Giant Brewing,IPA,New England/Hazy IPA,Ohio,2/28/2026,February,2026,Ryan F.,152,Jake W.,3.40,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,3.75,,,,,1.50,,3.00,,,,,,,,,,,3.00,,,,,,3.75,,,,,,,,,,,,,,2.50,,,,,,4.25,,,,,3.75,,,,,,3.00,,,,,,,,,,,,,,,,,,,,4.25,,,,3.75,,,4.25,,,,,,,,,,,,,,,
Brain Freeze Cold IPA,Nine Giant Brewing,IPA,American IPA,Ohio,2/28/2026,February,2026,Ryan F.,152,Ryan F.,3.04,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,3.50,,,,,1.75,,3.00,,,,,,,,,,,3.00,,,,,,3.25,,,,,,,,,,,,,,3.00,,,,,,3.25,,,,,3.50,,,,,,2.50,,,,,,,,,,,,,,,,,,,,3.50,,,,3.00,,,3.25,,,,,,,,,,,,,,,
Black Illusion English Dark Mild,Nine Giant Brewing,Mild Ale,English Mild Ale,Ohio,2/28/2026,February,2026,Ryan F.,152,Scott T.,3.04,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,3.25,,,,,2.75,,3.00,,,,,,,,,,,2.75,,,,,,3.25,,,,,,,,,,,,,,2.50,,,,,,3.50,,,,,3.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,2.50,,,,3.75,,,3.25,,,,,,,,,,,,,,,
Grove American Pale Ale,Mellotone Beer Project,Pale Ale,American Pale Ale,Ohio,2/28/2026,February,2026,Ryan F.,152,Sara P.,3.17,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,3.50,,,,,2.00,,3.25,,,,,,,,,,,2.75,,,,,,3.75,,,,,,,,,,,,,,3.25,,,,,,2.50,,,,,3.50,,,,,,2.50,,,,,,,,,,,,,,,,,,,,4.25,,,,3.25,,,3.75,,,,,,,,,,,,,,,
Doom Pedal White Ale,Fifty West Brewing Co.,Wheat,Witbier,Ohio,2/28/2026,February,2026,Ryan F.,152,John S.,2.79,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,3.50,,,,,1.75,,2.50,,,,,,,,,,,2.50,,,,,,3.00,,,,,,,,,,,,,,3.00,,,,,,2.25,,,,,3.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,2.25,,,,2.75,,,3.25,,,,,,,,,,,,,,,
Kuronami Schwarzbier,Mellotone Beer Project,Schwarzbier,,Ohio,2/28/2026,February,2026,Ryan F.,152,Katie S.,3.23,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,4.25,,,,,3.25,,2.00,,,,,,,,,,,2.75,,,,,,3.00,,,,,,,,,,,,,,3.00,,,,,,3.50,,,,,3.50,,,,,,3.50,,,,,,,,,,,,,,,,,,,,2.25,,,,3.50,,,4.00,,,,,,,,,,,,,,,
Cinnamon Toast Crunch Imperial Brown Ale,DVD Brew,Brown,,Ohio,3/27/2026,March,2026,Zach M.,153,Eric H.,2.68,,,,,,,2.50,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3.25,,,,,,,3.00,,,,,,,2.00,,,2.00,,,,,,,,,,,,,,,,,,,,,,3.50
Dimmer Golden Ale with Coffee From Wood Burl,Branch & Bone Artisan Ales,Blonde,Coffee Blonde,Ohio,3/27/2026,March,2026,Zach M.,153,Michael P.,2.95,,,,,,,4.00,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3.50,,,,,,,3.25,,,,,,,2.50,,,2.75,,,,,,,,,,,,,,,,,,,,,,2.00
Not You Too West Coast Style DIPA,The Veil Brewing Co.,IPA,Double IPA,Virginia,3/27/2026,March,2026,Zach M.,153,Ryan F.,3.25,,,,,,,3.75,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,4.25,,,,,,,2.75,,,,,,,3.25,,,3.25,,,,,,,,,,,,,,,,,,,,,,2.25
Juicy Truth Hazy Juicy IPA,Rhinegeist Brewing Co.,IPA,New England/Hazy IPA,Ohio,3/27/2026,March,2026,Zach M.,153,Jake W.,2.95,,,,,,,3.00,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3.00,,,,,,,3.00,,,,,,,2.75,,,3.00,,,,,,,,,,,,,,,,,,,,,,2.75
Megaphone Irish Style Red Ale,Inside the Five Brewing Co.,Red,Irish Red,Ohio,3/27/2026,March,2026,Zach M.,153,Zach M.,3.28,,,,,,,3.75,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,3.50,,,,,,,3.75,,,,,,,3.00,,,2.25,,,,,,,,,,,,,,,,,,,,,,4.50
Nutter Your Business Peanut Butter Stout,Grand Armory Brewing Co.,Stout,Sweet/Milk Stout,Michigan,3/27/2026,March,2026,Zach M.,153,Matt T.,3.31,,,,,,,4.25,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,3.25,,,,,,,2.75,,,3.00,,,,,,,,,,,,,,,,,,,,,,2.50
Hefeweissbier Dunkel,Weihenstephaner,Wheat,Dunkelweizen,Germany,3/27/2026,March,2026,Zach M.,153,Paul K.,3.35,,,,,,,4.00,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,4.50,,,,,,,4.00,,,,,,,3.00,,,1.25,,,,,,,,,,,,,,,,,,,,,,2.50
Cheat Day Brownie Swirl Ice Cream Imperial Ale,Southern Tier Brewing Co.,Brown,,New York,3/27/2026,March,2026,Zach M.,153,Alex S.,3.48,,,,,,,4.00,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,4.75,,,,,,,2.75,,,,,,,4.00,,,3.25,,,,,,,,,,,,,,,,,,,,,,3.00
Bitrate Fluctuation Double India Pale Ale,Equilibrium Brewery / WeldWerks Brewing Co.,IPA,Double IPA,New York,3/27/2026,March,2026,Zach M.,153,Ben S.,3.38,,,,,,,3.25,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,4.75,,,,,,,3.00,,,,,,,3.75,,,3.50,,,,,,,,,,,,,,,,,,,,,,2.50
Honey Orange Tripel,New Belgium Brewing Co.,Tripel,Belgian Tripel,Coloh,3/27/2026,March,2026,Zach M.,153,Rick S.,3.08,,,,,,,4.25,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,4.25,,,,,,,3.25,,,,,,,3.50,,,2.50,,,,,,,,,,,,,,,,,,,,,,2.50
Gentle Giant Light Lime Lager with Sea Salt,MadTree Brewing Co.,Lager,American Light Lager,Ohio,4/24/2026,April,2026,Paul K.,154,Sara P.,3.17,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,3.50,,,,,,,3.25,,,,,,,3.00,,,3.00,,,,,,,,,,,,,,,3.50
Bottomless Memosa Saison Blood Orange Saison,Boulevard Brewing Co.,Saison,,Missouri,4/24/2026,April,2026,Paul K.,154,Dave E.,1.97,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,2.75,,,,,,,2.50,,,,,,,1.50,,,1.50,,,,,,,,,,,,,,,1.75
Surf House Summer Lager,Allagash Brewing Co.,Lager,American Lager,Maine,4/24/2026,April,2026,Paul K.,154,Paul K.,1.94,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,2.00,,,,,,,2.00,,,,,,,1.75,,,1.50,,,,,,,,,,,,,,,2.25
Raccoon City Reserve Bio Organic Coconut,450 North Brewing Co.,Stout,Pastry Stout,Indiana,4/24/2026,April,2026,Paul K.,154,Matt T.,2.86,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,3.00,,,,,,,2.75,,,,,,,2.75,,,2.50,,,,,,,,,,,,,,,2.75
