Book,Publisher,Category,Subcategory,State/Country,Date,Month,Year,Host,Meeting No.,Contributor,Composite,Aaron T.,Adam H.,Adam W.,Alex Ha.,Alex He.,Alex M.,Alex S.,Allen M.,Andrew F.,Andrew P.,Andrew S.,Anfernee A.,Annie H.,Ben C.,Ben S.,Ben W.,Bill K.,Bobby T.,Brant C.,Brian La.,Brian Li.,Carl R.,Charlie D.,Charlie M.,Chelsea P.,Chris G.,Chris J.,Chris Mo.,Chris My.,Colin J.,Cory P.,Dan S.,Darrell L.,Dave E.,Dave S.,David A.,David J.,David W.,Denis M.,Dick K.,DJ W.,Donny H.,Drew B.,Dustin S.,Eric A.,Eric B.,Eric H.,Erik W.,Forrest T.,Frank B.,Greg A.,Ian S.,Jake W.,James E.,Jason F.,Jason M.,Jason S.,Jayson L.,Jeremy S.,Jesse J.,Jim B.,Jim C.,Joe C.,Joe J.,Joe S.,Joel B.,John S.,John V.,Jordyn P.,Josh J.,Josh R.,Juan B.,Katie S.,Kevin V.,Kevin W.,Lauren D.,Lee M.,Maridee R.,Mark A.,Mark N.,Matt A.,Matt G.,Matt S.,Matt T.,Matthew S.,Merritt W.,Michael P.,Mike M.,Mike V.,Nate M.,Nick K.,OJ W.,Paul H.,Paul K.,Paul W.,Phil H.,Phil W.,Rachel H.,Renee K.,Richard A.,Rick S.,Rob C.,Rusty O.,Ryan F.,Ryan Y.,Sam E.,Sam S.,Sara P.,Sarah G.,Scott M.,Scott T.,Shelley B.,Steve B.,Steve D.,Steve M.,Steve P.,Steve S.,Steve W.,Stuart W.,Tim H.,Tony H.,Tony W.,Trent D.,Tyler S.,Wes B.,Zach M.
Broccoli Double Dry Hopped Imperial India Pale Ale,Other Half Brewing Co.,IPA,New England/Hazy IPA,New York,11/27/2024,November,2024,Lee M.,137,Lee M.,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,3.75,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziegler Oktoberfest Lager,MadTree Brewing Co.,Oktoberfest,Marzen,Ohio,8/27/2021,August,2021,Jeremy S.,98,Jeremy S.,3.81,,,,,,,,,,,,,,,3.25,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,3.00,,,3.75,,,4.00,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50
Old Rasputin Russian Imperial Stout,North Coast Brewing Co.,Stout,Russian Imperial Stout,California,5/17/2019,May,2019,Jake W.,73,Scott T.,3.80,4.00,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,3.00,,4.00,,,,,,4.00,,,,,,,,,,,,,,,,4.50,,4.00,,,,,,,,,,,,,,,,,3.25,2.75,4.50,,,,,,,,,,,,,,,3.75,,,,,,3.25,,,,,,,,4.25,
Boat Show IPA,Yellow Springs Brewery,IPA,American IPA,Ohio,3/2/2018,February,2018,Colin J.,58,Chris J.,3.80,,,,,,,,,,,,,,,,,,4.00,,,,,3.25,,,,4.25,,,4.25,,,,2.00,,,,,,,,,,,,,3.75,,,,,,4.00,,,4.00,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,
Amber Ale,West Sixth Brewing Co.,Amber,,Kentucky,6/25/2013,June,2013,Colin J.,2,Paul W.,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,3.50,,,,,,,,,,,,,3.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,
Pumpkin Ale,Rivertown Brewing Co.,Pumpkin,,Ohio,10/10/2013,October,2013,Matt S.,6,Matt S.,3.79,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,5.00,,,,3.50,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,4.00,,,
Raven Export Stout,Rhinegeist Brewing Co.,Stout,Export Stout,Ohio,2/24/2023,February,2023,Silverton/Pleasant Ridge,116,Jake W.,3.79,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,3.50,,,,,,3.50,,,,,3.25,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,
Chocolate Oak Aged Yeti Imperial Stout,Great Divide Brewing Co.,Stout,American Imperial Stout,Colorado,4/22/2016,April,2016,Tony H.,36,Eric A.,3.78,,,,,,,,,,,,,,,,4.00,,3.00,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,4.50,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,4.50,,,,,,,,,,,,,,,4.00,,,,,,,,,,3.00,,,,,
Zombie Dust Pale Ale,3 Floyds Brewing Co.,Pale Ale,American Pale Ale,Indiana,3/23/2018,March,2018,Kevin W. and Dave E.,59,Dave E.,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,3.50,,,,,,,,3.00,4.00,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,3.50,,,,,,,,,,,3.75,,4.50,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,
Beer For Huddles Amber Ale,Off Color Brewing,Amber,,Illinois,10/30/2025,October,2025,Ben S.,148,Rick S.,3.78,,,,,,,3.00,,,,,,,,4.25,,4.00,,,,,,,,,,,3.75,,,,,,3.75,,3.25,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,4.25
Organic Chocolate Stout,Samuel Smith Old Brewery,Stout,English Stout,UK,5/18/2016,May,2016,Scott T.,37,Matt T.,3.75,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,4.50,,3.50,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,5.00,,,,,,,,,,,3.00,,,,,,,,,,,3.50,,,,,4.50,,,,,,,,,,,,,,,
Speedway Stout Imperial Stout With Coffee,AleSmith Brewing Co.,Stout,Coffee Stout,California,10/16/2020,October,2020,Dave E. and Jake W.,89,Scott T.,3.75,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,3.50,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,
Bamm Bamm Rubble Rubble Sour Ale Now With Rainbow Sherbet,WeldWerks Brewing Co.,Sour,Fruited Sour,Colorado,6/19/2024,June,2024,Sara P. ,132,Dave E.,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,3.50,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,3.50,,,,,,,,,,,,,,,
10W-40 Imperial Stout,Hi-Wire Brewing,Stout,American Imperial Stout,North Carolina,12/7/2018,December,2019,Paul W.,68,Dave E.,3.73,,,,,,,,,,,,,,,,5.00,,3.00,,,,,3.75,,,,,,,,,,,4.25,,,,,,4.00,,,,,4.00,,2.50,,,,,,4.00,,,3.00,,,4.00,,,,,,,,,,,,,,,,4.00,,4.50,,,,,,,,,,,,,,,,,3.25,3.25,,,,,,,,,,,,,,,,4.00,,,,,,3.25,,,,,,,,,
S'More Gratitude,MadTree Brewing Co.,Stout,Pastry Stout,Ohio,10/18/2018,October,2018,Phil H.,66,Phil H.,3.73,,,,,,,,,,,,,,,,4.00,,3.00,,,,,4.00,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,4.50,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,3.00,3.25,5.00,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,
Preserved In Three Dimensions Double India Pale Ale,Hop Butcher for the World,IPA,Double IPA,Illinois,12/10/2021,December,2022,Paul W.,102,Scott T.,3.73,,,,,,,,,,,,,,,3.50,,,4.00,,,,,4.00,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,4.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,3.25,,,,,,,,,,,,,,,,4.00,,,,,,3.50,,,,,,,,,
Oberon Ale,Bell's Brewery,Wheat,American Pale Wheat,Michigan,5/13/2015,May,2015,Scott T.,25,Paul W.,3.72,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,4.00,,3.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,5.00,,,,,,,,,,,,,,,3.50,,,,,,,,,,3.00,,,,,
Axis Mundi,MadTree Brewing Co.,Stout,Russian Imperial Stout,Ohio,4/22/2016,April,2016,Tony H.,36,Scott T.,3.72,,,,,,,,,,,,,,,,4.00,,3.50,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,4.00,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,5.00,,,,,,,,,,,,,,,4.50,,,,,,,,,,2.50,,,,,
Dirty Bastard Scotch Ale,Founders Brewing Co.,Scotch,,Michigan,3/30/2016,March,2016,Jake W.,35,Ben W.,3.70,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,5.00,3.00,,,,,,,,,,,4.00,,3.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,4.00,,,,3.00,,,,,
Robert the Bruce Scottish Style Ale,3 Floyds Brewing Co.,Scottish,,Indiana,5/13/2015,May,2015,Scott T.,25,Dave E. / Retrial,3.69,5.00,,,,,4.00,,,,,,,,,3.00,3.50,,3.50,,,,,,,,,,,,,,,,4.00,,,,,,,,,3.50,,4.50,,4.00,,,,,,3.50,,,4.00,,,4.50,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,3.00,,,,,,2.75,,2.75,4.00,5.00,,,,,,,,,,,,,,,3.00,,,,,,,,,,2.00,,,,,4.50
Octoberfest Marzen Lager,Left Hand Brewing Co.,Oktoberfest,Marzen,Colorado,9/9/2013,September,2013,Dave E.,5,Phil H.,3.69,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,3.50,,,,,3.50,,,3.50,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,
Phantom Forest Juicy Imperial IPA,MadTree Brewing Co.,IPA,Imperial IPA,Ohio,10/16/2020,October,2020,Dave E. and Jake W.,89,Ben S.,3.68,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,3.75,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,
10W-40 Chai Imperial Stout,Hi-Wire Brewing,Stout,American Imperial Stout,North Carolina,10/1/2021,October,2021,Jim B.,100,Charlie D.,3.68,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,3.50,,3.75,,,,,,2.75,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckeye Stout,Sonder Brewing,Stout,Pastry Stout,Ohio,4/30/2021,April,2021,Paul W. and Jake W.,94,Greg A.,3.68,,,,,,,,,,,,,,,3.50,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,3.75,,4.25,,3.75,,,,4.00,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,3.25,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,
Cryo Fresh Hop Bayou Juice Hazy India Pale Ale,WeldWerks Brewing Co. / Parish Brewing Co.,IPA,New England/Hazy IPA,Colorado,2/29/2024,February,2024,Scott T.,128,Lauren D.,3.66,,,,,,,,,,,,4.25,,,3.75,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,3.5,,,,,,,,,,,,,,,
Rabbit West Coast Style India Pale Ale,Trillium Brewing,IPA,American IPA,Massachusetts,5/16/2025,May,2025,Jake W.,143,Paul W.,3.66,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,4.00,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,4.50,,,,,,,,,,,,,3.50,,,4.00,,,,,,,,,,,,,,,
Fork in the Road India Amber Ale,Blank Slate Brewing Co.,Amber,,Ohio,7/27/2016,July,2016,Kevin W.,39,Kevin W.,3.65,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,2.50,,3.50,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,4.50,,,,,,3.00,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,
Oh Mai! Golden Ale,MadTree Brewing Co.,Golden,,Ohio,9/30/2022,September,2022,Charlie D.,111,Sara P.,3.65,,,,,,,,,,,,,,,3.25,,,3.75,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3.25,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,3.25,,,,,,,,,3.75,,,,,,
Quentin Quarantino DDH IPA,Taft's Brewing Co.,IPA,American IPA,Ohio,10/16/2020,October,2020,Dave E. and Jake W.,89,Jake W.,3.64,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,4.00,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,
From the Market,Boston Beer Co.,Pilsner,German Pilsner,Massachusetts,3/23/2023,March,2023,Zach M.,117,Juan B.,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,3.25,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,3.50,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25
Pernicious IPA,Wicked Weed Brewing,IPA,American IPA,North Carolina,5/3/2017,April,2017,Jake W.,48,Jake W.,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,3.75,,,2.50,,4.00,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,3.25,5.00,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,
Salted Caramel Imperial Stout,Southern Tier Brewing Co.,Stout,Sweet/Milk Stout,New York,11/16/2017,November,2017,Scott T.,55,Dave E.,3.64,,,,,,,,,,,,,,,,,,4.00,,,,,4.50,,,,,,,,,,,4.25,,,,,3.50,,,,,,3.50,,2.50,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,
Expedition Stout,Bell's Brewery,Stout,Russian Imperial Stout,Michigan,10/18/2018,October,2018,Phil H.,66,Paul W.,3.64,,,,,,,,,,,,,,,,4.50,,3.00,,,,,4.25,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,3.75,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,2.25,3.00,5.00,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,
Lord Rear Admiral ESB,3 Floyds Brewing Co.,ESB,,Indiana,3/22/2019,March,2019,Jason M.,71,Jeremy S.,3.64,4.00,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,3.50,,,4.00,,,4.25,,,,,,,,,,,,3.50,,,,4.00,,3.50,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50
Dino Bits Hazy Double India Pale Ale,Weldwerks Brewing Co. / Toppling Goliath Brewing Co.,IPA,New England/Hazy IPA,Colorado,7/24/2025,July,2025,Dave E.,145,Ryan F.,3.64,,,,,,,,,,,,,,,3.75,,,,,,,,3.00,,,,,,,,,,,3.50,,2.75,,,,,,,3.25,,,,3.75,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,,,,,5.00,,,,,,,,,,,,,,,,,
Happy Amber,MadTree Brewing Co.,Amber,,Ohio,1/17/2014,January,2014,Phil H.,9,Denis M.,3.63,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,3.50,,3.00,,,,,4.00,,,3.50,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,
Trappistes Rochefort 10,Brasserie de Rochefort,Quad,Belgian Quad,Belgium,2/24/2017,February,2017,Ben W.,46,Kevin W.,3.63,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,3.50,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,3.00,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,,,,,3.50,,,,,
Springbok South African IPA,New Holland Brewing Co.,IPA,American IPA,Michigan,6/17/2017,June,2017,Denis M.,50,Jake W.,3.63,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,4.50,,,,,,3.75,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,3.00,,3.75,,,,,,,,
Imperial Java Stout ,Santa Fe Brewing Co.,Stout,Coffee Stout,New Mexico,2/28/2026,February,2026,Ryan F.,152,Eric H.,3.63,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,3.50,,,,,3.50,,2.75,,,,,,,,,,,3.25,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,4.50,,,,,,,,,,,,,,,,,,,,3.50,,,,3.50,3.00,,4.00,,,,,,,,,,,,,,,
White Stouts Can't Jump Imperial White Stout,Abomination Brewing,Stout,American Imperial Stout,Connecticut,6/13/2023,June,2023,Sara P.,120,Sara P.,3.62,,,,,,,,,4.00,,,,,,3.50,,,,,,,,,,3.75,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,4.75,,,,,,,,,,3.50,,5.00,,,,,,,,,,,,4.00,,,2.00,,,,,2.25,,,,,,,,,,3.75
St. Peter's Cream Stout,St. Peter's Brewery Co.,Stout,Sweet/Milk Stout,UK,1/19/2017,January,2017,Jake W.,45,Eric A.,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,4.00,,2.50,,,,,,4.00,,,,,,,,,3.50,,,,,,,,3.75,,,,,4.50,,,,4.00,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voodoo Ranger Tropic Force IPA,New Belgium Brewing Co.,IPA,Imperial IPA,Colorado,1/31/2025,January,2025,Scott T.,139,Drew B.,3.61,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,3.00,,3.50,,,,,,,3.50,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,4.25,,,,,,,,,,,,,,,
Moloko Milk Stout,3 Floyds Brewing Co.,Stout,Sweet/Milk Stout,Indiana,2/24/2023,February,2023,Silverton/Pleasant Ridge,116,Matt T.,3.61,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,3.50,,,,,,3.00,,,,,3.50,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,
Peanut Butter Milk Stout,West Side Brewing,Stout,Sweet/Milk Stout,Ohio,4/29/2023,April,2023,Ben W.,118,Ben W.,3.61,,,,,,,,4.25,,,,,,,,3.50,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,
